n,gapII,family_gapII,iterations,runtime
11,1.1111111111111107164,1.3333333333333337035,0,272.05616200000002892ms
11,1.1142857142857134357,1.2500000000000004441,3,513.56966100000011011ms
11,1.1111111111111107164,1.3333333333333339255,0,226.75247300000000906ms
11,1.1052631578947365032,1.3157894736842103978,0,283.08741600000001882ms
11,1.1052631578947365032,1.3157894736842110639,0,224.59131300000001375ms
11,1.1052631578947365032,1.3157894736842119521,0,252.85533000000000925ms
11,1.1052631578947365032,1.315789473684211508,0,263.97580100000004677ms
11,1.0975609756097552961,1.2926829268292687747,0,306.30810400000001437ms
11,1.1111111111111109385,1.3333333333333339255,0,256.11267300000002934ms
11,1.0909090909090901623,1.2727272727272729292,0,275.37169800000003761ms
11,1.0909090909090901623,1.2727272727272727071,0,262.74460600000003297ms
11,1.0909090909090903843,1.2727272727272727071,0,274.7126840000000243ms
11,1.1111111111111109385,1.3333333333333339255,0,294.67712900000003629ms
11,1.1111111111111107164,1.3333333333333339255,0,299.98360200000001897ms
11,1.0909090909090903843,1.2727272727272735953,0,310.95699800000005553ms
11,1.1052631578947360592,1.3157894736842103978,0,218.3650790000000086ms
11,1.1052631578947365032,1.3157894736842110639,0,230.08810000000002561ms
11,1.1111111111111111605,1.3333333333333332594,0,355.08653000000003886ms
11,1.1142857142857141018,1.2750000000000005774,1,277.84885900000000448ms
11,1.1111111111111109385,1.3333333333333341475,0,224.5695140000000265ms
11,1.1052631578947365032,1.315789473684211286,0,276.46837000000004992ms
11,1.1052631578947362812,1.3157894736842106199,0,310.73286500000000388ms
11,1.0909090909090906064,1.2727272727272733733,0,322.43815100000000485ms
11,1.0833333333333330373,1.2500000000000006662,0,252.43595400000000951ms
11,1.1052631578947365032,1.315789473684211286,0,222.61716800000002082ms
11,1.1111111111111107164,1.3333333333333341475,0,283.96350300000000289ms
11,1.1052631578947365032,1.3157894736842119521,0,245.67585700000000771ms
11,1.0909090909090906064,1.2727272727272735953,0,299.45182000000005474ms
11,1.093749999999999556,1.2812500000000006662,0,272.55698000000001003ms
11,1.0909090909090901623,1.2727272727272724851,0,249.65392300000002024ms
11,1.1111111111111109385,1.3333333333333334814,0,205.18468900000002009ms
11,1.1111111111111109385,1.3333333333333339255,0,222.72300600000002647ms
11,1.1111111111111109385,1.3333333333333339255,0,286.07980400000002419ms
11,1.1052631578947365032,1.3157894736842123962,0,246.72490300000001185ms
11,1.0909090909090906064,1.2727272727272733733,0,281.57438600000000406ms
11,1.1052631578947365032,1.3157894736842110639,0,243.79802900000001387ms
11,1.1052631578947365032,1.315789473684211508,0,211.960708000000011ms
11,1.1052631578947365032,1.315789473684211508,0,269.77003400000000966ms
11,1.1052631578947365032,1.3157894736842110639,0,273.41639300000002777ms
11,1.1052631578947360592,1.3157894736842101758,0,306.97301300000003721ms
11,1.0909090909090901623,1.2727272727272735953,0,332.87062400000002072ms
11,1.1052631578947362812,1.3157894736842106199,0,222.88824800000000437ms
11,1.1111111111111111605,1.3333333333333341475,0,239.3453760000000159ms
11,1.1111111111111107164,1.3333333333333337035,0,228.02976700000002098ms
11,1.0833333333333328153,1.2500000000000004441,0,245.60723200000001044ms
11,1.093749999999999556,1.2812500000000006662,0,221.65858600000001389ms
11,1.0909090909090903843,1.2727272727272738174,0,251.65271000000001323ms
11,1.1111111111111104944,1.3333333333333339255,0,273.7767650000000117ms
11,1.124999999999999556,1.3333333333333343696,2,401.67224200000003976ms
11,1.1249999999999986678,1.2857142857142866977,1,302.10347900000004984ms
11,1.0909090909090901623,1.2727272727272729292,0,307.0368590000000495ms
11,1.0999999999999994227,1.3000000000000002665,0,348.01040400000005093ms
11,1.1052631578947365032,1.3157894736842106199,0,272.22904900000003182ms
11,1.0799999999999998491,1.2400000000000055423,0,267.99292100000002393ms
11,1.0909090909090903843,1.2727272727272729292,0,267.26322900000002392ms
11,1.1052631578947362812,1.315789473684211286,0,185.08941800000002332ms
11,1.0909090909090901623,1.272727272727272263,0,260.88132600000000139ms
11,1.1052631578947365032,1.3157894736842117301,0,242.62942000000001031ms
11,1.1052631578947365032,1.3157894736842110639,0,208.61757700000001137ms
11,1.1111111111111107164,1.3333333333333337035,0,232.26462600000002113ms
11,1.1111111111111109385,1.3333333333333341475,0,267.54978200000005018ms
11,1.1052631578947365032,1.3157894736842110639,0,244.7923990000000174ms
11,1.1142857142857138797,1.25,2,358.56953000000004295ms
